business_name,category,town,local_area,address,phone,email,website,source_urls,google_business_seen,latest_google_review_date,review_recency_status,serves_sdg_evidence,confidence,add_status,notes
Murwall Drywall Inc,Home Repair,Moose Creek,North Stormont,"33 Church Street, Moose Creek, ON K0C 1W0",613-857-8657,sylvio@mur-wall.com,https://www.mur-wall.com,https://www.northstormont.ca/business-development/business-directory/murwall-drywall-inc,Yes,,Not visible,North Stormont municipal directory confirms local address/category/contact.,High,Added to seed,Official/municipal-style evidence is strong; owner claim still needed.
Moose Creek Precast Inc.,Concrete,Moose Creek,North Stormont,"16525 Sixth Road, Moose Creek, ON K0C 1W0",613-538-2381,info@moosecreekprecast.ca,https://www.moosecreekprecast.ca,https://www.northstormont.ca/business-development/business-directory/moose-creek-cement-products-2006-limited,Yes,,Not visible,North Stormont directory and public listings confirm Moose Creek concrete/septic products business.,High,Added to seed,Added as concrete/building-materials style service rather than a residential contractor only.
Lapp Construction,General Contractor,Crysler,North Stormont,"14140 County Road 13, Crysler, ON K0A 1R0",613-987-1612,,,https://www.northstormont.ca/business-development/business-directory/lapp-construction,Not visible,,Not visible,North Stormont municipal directory confirms local contractor/building-services listing.,High,Added to seed,No website found in this pass; municipal directory is the trusted source.
Crysler Home Center Limited,Building Supplies,Crysler,North Stormont,"68 Charles Street, Crysler, ON K0A 1R0",613-987-2802,mark.begg@homehardware.ca,https://www.facebook.com/cryslerhomehardware/,https://www.northstormont.ca/business-development/business-directory/crysler-home-center-limited,Yes,,Not visible,North Stormont municipal directory confirms local home-centre listing.,High,Added to seed,Useful rural materials/tools profile.
Country Lane Fine Wood Products,Building Supplies,Berwick,North Stormont,"15134 Concession Road 4-5, Berwick, ON K0C 1G0",613-984-2792,countrylane@sympatico.ca,,https://www.allbiz.ca/fr/country-lane-fine-wood-products_1h-613-984-2792,Yes,,Not visible,Public directories confirm Berwick address and wood-products/sawmill category.,High,Added to seed,No current official website found; local fit and contact path are clear.
Advanced Turf Co Inc,Landscaping,Moose Creek,North Stormont,"16915 Eighth Road RR 1, Moose Creek, ON K0C 1W0",613-577-1141,,,https://www.yellowpages.ca/bus/Ontario/Moose-Creek/Advanced-Turf-Co-Inc/8191276.html,Yes,,Not visible,YellowPages confirms Moose Creek address and sod/turf category.,High,Added to seed,Useful landscaping-adjacent supply/service row.
David R. Coleman General Contractor Ltd.,General Contractor,Monkland,North Stormont,"17030 Roxborough Gardens Road, Monkland, ON K0C 1V0",613-346-2440,office@davidrcoleman.ca,https://www.davidrcoleman.ca,https://www.davidrcoleman.ca,Yes,,Not visible,Official website names SD&G service area and local Monkland location.,High,Added to seed,Strong regional contractor candidate.
Bourgeois Well Drilling Ltd.,Drilling,Crysler,North Stormont,"14245 Concession 10-11, Crysler, ON K0A 1R0",613-987-5291,,https://www.bourgeoiswelldrilling.com,https://www.bourgeoiswelldrilling.com/en,Yes,,Not visible,Official website confirms Crysler well-drilling contractor serving North Stormont/eastern Ontario.,High,Added to seed,Adds a thin rural category.
Gauthier Well Drilling,Drilling,Moose Creek,North Stormont,"16967 McNeil Road, Moose Creek, ON K0C 1W0",613-538-5549,,,https://www.yellowpages.ca/bus/Ontario/Gauthier-Well-Drilling-Moose-Creek-ON/100388047.html,Yes,,Not visible,YellowPages/411 confirm Moose Creek well-drilling category and phone.,High,Added to seed,No official website found in this pass.
Fusion Septic,Septic Services,North Lancaster,South Glengarry,"3997 2nd Line Road, North Lancaster, ON K0C 1Z0",613-330-0783,info@fusionseptic.com,https://fusionseptic.com,https://www.yellowpages.ca/bus/Ontario/North-Lancaster/Fusion-Septic/104304638.html,Yes,,Not visible,YellowPages and Nation Conservation septic directory confirm address/category/contact.,High,Added to seed,Strong thin-category fit.
