"name","primary_category","secondary_categories","town","address","phone","email","website","source","source_url","confidence","notes"
"Morrisburg Plumbing & Heating Ltd","Plumbing","HVAC; heating; air conditioning; water treatment","Morrisburg","161 Main St, Morrisburg, ON K0C 1X0","613-543-3983","info@morrisburgplumbing.com","https://www.morrisburgplumbing.ca","South Dundas Chamber; BBB; TSSA","https://www.southdundaschamber.ca/business-directory/trades/","High","Appears in multiple public sources; should be treated as a cornerstone profile."
"ATEL Air / Arthur Thom Electric Ltd","HVAC","Electrical; geothermal; heating; air conditioning","Williamsburg","4600 County Rd 31, Williamsburg, ON K0C 2H0","613-535-2720","info@atelair.ca","https://atelair.ca","ATEL website; South Dundas municipal recurring services","https://atelair.ca/about-us/meet-our-team/","High","Strong local/regional provider; appears in municipal services source."
"Plante Electric","Electrical","Electrician","Morrisburg","3 Coyle Dr, Morrisburg, ON K0C 1X0","613-543-2794","","","Shop South Dundas","https://shopsouthdundas.com/directory-southdundas/listing/plante-electric/","Medium","Public listing found; needs owner verification and service-area details."
"Jet Electrical Contractors Inc.","Electrical","Residential; commercial; industrial; aerial; generators; tree service divisions","Gananoque","225 James A Brennan Rd, Gananoque, ON K7G 1N7","613-484-0989","jetelectricalcontractors@gmail.com","https://www.jetelectricalcontractors.com","Company website; municipal recurring services","https://www.jetelectricalcontractors.com/","High","Regional provider serving Eastern Ontario; include if service-area model supports South Dundas."
"ACF Electric","Electrical","Commercial; industrial; utility; emergency electrical","Brockville","Brockville, ON","613-802-4282","cferguson@acfelectric.ca","https://acfelectric.ca","Company website; municipal recurring services","https://acfelectric.ca/","High","Regional provider; municipal recurring services source lists South Dundas use."
"Dundas Power Line Ltd","Pole Line Contractor","Streetlight repair; bucket truck; high voltage; tree trimming","Chesterville","13564 County Rd 43, Chesterville, ON K0C 1H0","613-448-3400","info@dundaspowerline.com","https://www.dundaspowerline.com","YellowPages; municipal recurring services","https://www.yellowpages.ca/search/si/1/Pole%2BLine%2BContractors/Morrisburg%2BON","High","Not South Dundas based, but locally relevant for utility/pole-line services."
"Dundas Drilling","Drilling","Rock drilling; well/exploration related listing","Chesterville","13564 County Rd 43, Chesterville, ON K0C 1H0","613-448-3403","","https://www.dundasdrilling.com","North Dundas directory; YellowPages; municipal recurring services","https://www.northdundas.com/business-development/business-directory/dundas-drilling","Medium","Phone differs across sources; verify current number and service scope."
"DBC Environmental Services Ltd","Environmental Services","Hydro-vac; spill response; waste removal; excavation; tank removal","Long Sault","5190 Windfall Rd, Long Sault, ON","613-534-3861","","https://dbcltd.ca","MapQuest; municipal recurring services","https://www.mapquest.com/ca/ontario/dbc-environmental-service-ltd-359274346","Medium","Regional provider; include under environmental and hydro-vac if serving South Dundas."
"J&M Contracting Corp.","General Contractor","Residential; commercial; agricultural; renovations; decks; fencing; steel erection","Morrisburg","55 Prospect Rd, Morrisburg, ON K0C 1X0","613-330-2444","","","BBB; South Dundas bids and tenders","https://www.bbb.org/ca/on/morrisburg/profile/commercial-general-contractor/jm-contracting-corp-0117-243722","High","Important local contractor; BBB accredited and appears in municipal project references."
"Buster's Backhoe Service","Excavation","Backhoe; general contractor","Morrisburg","5085 County Rd 8, Morrisburg, ON K0C 1X0","613-551-4158","","","BBB","https://www.bbb.org/ca/on/morrisburg/category/general-contractor","Medium","Found via BBB near Morrisburg results; verify active status and services."
